ablation,dataset,split_protocol,task_type,metric_name,n_seeds,mean_test_metric,std_test_metric,ci95_lower,ci95_upper,ci95_margin,per_seed_metrics,config_source,mean_test_mae,mean_test_r2,train_test_shift_sd,r2_reliable
gcn_no_3d_infonce_codebook,esol,scaffold,regression,rmse,5,1.138,0.0319,1.0983,1.1776,0.0396,"[1.1014, 1.1207, 1.137, 1.1438, 1.187]",optuna_tuned:best_config.json(full_model_sibling),0.8955,0.7116,0.45,True
gcn_no_3d_infonce_codebook,freesolv,scaffold,regression,rmse,5,2.1006,0.0766,2.0055,2.1957,0.0951,"[2.0263, 2.0279, 2.091, 2.1666, 2.1913]",optuna_tuned:best_config.json(full_model_sibling),1.59,0.6658,0.8,True
gcn_no_3d_infonce_codebook,lipo,scaffold,regression,rmse,5,0.7102,0.0177,0.6883,0.7322,0.022,"[0.6915, 0.6915, 0.7156, 0.7256, 0.727]",optuna_tuned:best_config.json(full_model_sibling),0.5481,0.5859,0.166,True
gcn_no_3d_infonce_codebook,cep,scaffold,regression,rmse,5,1.1029,0.0049,1.0968,1.109,0.0061,"[1.0977, 1.1007, 1.1016, 1.1037, 1.1108]",optuna_tuned:best_config.json(full_model_sibling),0.5376,0.813,0.011,True
gcn_no_3d_infonce_codebook,malaria,scaffold,regression,rmse,5,1.973,0.0272,1.9392,2.0067,0.0337,"[1.9499, 1.9532, 1.9567, 1.9995, 2.0055]",optuna_tuned:best_config.json(full_model_sibling),1.6951,-3.0983,1.585,False
gcn_no_3d_infonce_fp,esol,scaffold,regression,rmse,5,1.3206,0.0228,1.2924,1.3489,0.0283,"[1.3045, 1.3092, 1.3138, 1.315, 1.3607]",optuna_tuned:best_config.json(full_model_sibling),1.0425,0.6117,0.45,True
gcn_no_3d_infonce_fp,freesolv,scaffold,regression,rmse,5,2.685,0.3288,2.2767,3.0933,0.4083,"[2.3923, 2.4523, 2.5024, 2.9736, 3.1046]",optuna_tuned:best_config.json(full_model_sibling),2.0657,0.448,0.8,True
gcn_no_3d_infonce_fp,lipo,scaffold,regression,rmse,5,0.9149,0.0213,0.8884,0.9414,0.0265,"[0.8902, 0.9014, 0.9086, 0.9365, 0.9378]",optuna_tuned:best_config.json(full_model_sibling),0.7062,0.3129,0.166,True
gcn_no_3d_infonce_fp,cep,scaffold,regression,rmse,5,1.4266,0.02,1.4018,1.4514,0.0248,"[1.4031, 1.4164, 1.4201, 1.4403, 1.4532]",optuna_tuned:best_config.json(full_model_sibling),0.9272,0.6871,0.011,True
gcn_no_3d_infonce_fp,malaria,scaffold,regression,rmse,5,1.9492,0.0225,1.9212,1.9771,0.0279,"[1.9146, 1.9467, 1.9536, 1.9539, 1.9771]",optuna_tuned:best_config.json(full_model_sibling),1.6635,-2.9999,1.585,False
